鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易年月日,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-隔間,有無管理組織,總價元,車位類別,電梯
15,2,115.13,1110214,10,23,4,7,7,1120616.0,273.59,5.0,有,0,23680000,0,2
15,2,92.5,1110219,10,23,4,7,7,1120616.0,234.84,5.0,有,0,18200000,0,2
15,2,88.51,1110106,10,23,4,7,7,1120616.0,194.1,5.0,有,0,15980000,0,2
15,2,129.1,1110709,10,23,4,7,7,1120616.0,259.43,5.0,有,0,20000000,0,2
15,2,92.73,1110806,10,23,4,7,7,1120616.0,234.84,5.0,有,0,17900000,0,2
6,2,84.6,1121110,10,24,4,1,7,881004.0,234.98,4.0,有,1,24000000,0,2
2,2,70.58,1121110,10,12,4,1,2,650708.0,113.74,3.0,有,1,8000000,0,2
15,3,13.14,1110614,35,15,1,7,7,1121108.0,137.66,2.0,有,0,11700000,5,1
15,3,8.92,1120414,35,15,1,7,7,1121108.0,93.74,2.0,有,0,8600000,6,1
15,3,12.97,1110707,32,15,1,7,7,1121108.0,135.6,2.0,有,0,11700000,5,1
15,3,8.76,1090829,32,15,1,7,7,1121108.0,92.49,2.0,有,0,5850000,6,1
15,3,8.92,1110306,46,15,1,7,7,1121108.0,93.95,2.0,有,0,7750000,6,1
15,3,9.67,1120206,14,15,1,7,7,1121108.0,101.42,2.0,有,0,9350000,5,1
15,3,14.62,1120902,31,15,1,7,7,1121108.0,153.09,2.0,有,0,14580000,5,1
15,3,8.92,1120211,31,15,1,7,7,1121108.0,93.83,2.0,有,0,8400000,6,1
15,3,8.76,1100117,31,15,1,7,7,1121108.0,92.49,2.0,有,0,6450000,6,1
15,3,12.97,1090712,35,15,1,7,7,1121108.0,135.6,2.0,有,0,8600000,5,1
15,3,11.73,1091107,35,15,1,7,7,1121108.0,123.56,2.0,有,0,8500000,5,1
15,3,14.62,1100411,35,15,1,7,7,1121108.0,153.09,2.0,有,0,11600000,5,1
15,3,8.68,1100303,35,15,1,7,7,1121108.0,91.59,2.0,有,0,6580000,6,1
15,3,8.76,1100123,35,15,1,7,7,1121108.0,92.49,2.0,有,0,6550000,6,1
15,3,8.92,1100714,13,15,1,7,7,1121108.0,93.83,0.0,有,0,6580000,6,1
15,3,8.76,1111026,13,15,1,7,7,1121108.0,92.69,0.0,有,0,6530000,6,1
15,3,12.97,1101009,13,15,1,7,7,1121108.0,135.39,0.0,有,0,10950000,5,1
15,3,8.84,1101018,13,15,1,7,7,1121108.0,93.69,0.0,有,0,7300000,6,1
15,3,12.81,1100917,13,15,1,7,7,1121108.0,133.96,0.0,有,0,10820000,5,1
15,3,8.76,1111219,13,15,1,7,7,1121108.0,92.41,0.0,有,0,8050000,6,1
15,3,8.92,1091011,13,15,1,7,7,1121108.0,94.0,0.0,有,0,6060000,6,1
15,3,8.76,1100515,13,15,1,7,7,1121108.0,92.72,0.0,有,0,6580000,6,1
15,3,8.76,1100221,13,15,1,7,7,1121108.0,92.49,0.0,有,0,6420000,6,1
15,3,8.92,1081124,33,15,1,7,7,1121108.0,93.83,0.0,有,0,5520000,6,1
15,3,8.68,1100317,33,15,1,7,7,1121108.0,91.86,0.0,有,0,6480000,6,1
15,3,8.76,1101114,33,15,1,7,7,1121108.0,92.38,0.0,有,0,7200000,6,1
15,3,13.14,1100710,20,15,1,7,7,1121108.0,137.68,0.0,有,0,9930000,5,1
15,3,8.84,1101118,20,15,1,7,7,1121108.0,93.69,0.0,有,0,7350000,6,1
15,3,8.92,1120325,20,15,1,7,7,1121108.0,93.95,0.0,有,0,8250000,6,1
15,3,8.68,1091102,20,15,1,7,7,1121108.0,91.88,0.0,有,0,6150000,6,1
15,3,8.76,1081119,20,15,1,7,7,1121108.0,92.49,0.0,有,0,5450000,6,1
15,3,8.92,1100715,45,15,1,7,7,1121108.0,93.83,0.0,有,0,6650000,6,1
15,3,14.62,1100514,45,15,1,7,7,1121108.0,153.09,0.0,有,0,11750000,5,1
15,3,8.92,1100727,40,15,1,7,7,1121108.0,93.83,0.0,有,0,6700000,6,1
15,3,8.92,1100726,40,15,1,7,7,1121108.0,93.74,0.0,有,0,6800000,6,1
15,3,11.73,1090222,40,15,1,7,7,1121108.0,123.56,0.0,有,0,7900000,5,1
15,3,12.97,1100916,40,15,1,7,7,1121108.0,135.6,0.0,有,0,10970000,5,1
15,3,8.76,1101031,40,15,1,7,7,1121108.0,92.38,0.0,有,0,7080000,6,1
15,3,8.76,1091101,40,15,1,7,7,1121108.0,92.49,0.0,有,0,5880000,6,1
15,3,8.92,1100727,38,15,1,7,7,1121108.0,93.74,0.0,有,0,6820000,6,1
15,3,8.68,1100717,38,15,1,7,7,1121108.0,91.86,0.0,有,0,6500000,6,1
15,3,8.84,1100523,44,15,1,7,7,1121108.0,93.69,0.0,有,0,6850000,6,1
15,3,13.14,1120806,37,15,1,7,7,1121108.0,137.66,0.0,有,0,12800000,5,1
15,3,8.92,1100714,42,15,1,7,7,1121108.0,94.0,0.0,有,0,6930000,6,1
15,3,12.89,1100417,42,15,1,7,7,1121108.0,136.33,0.0,有,0,9420000,6,1
15,3,8.68,1100725,42,15,1,7,7,1121108.0,91.86,0.0,有,0,6550000,6,1
15,3,8.76,1101126,42,15,1,7,7,1121108.0,92.38,0.0,有,0,7230000,6,1
15,3,8.68,1091124,39,15,1,7,7,1121108.0,91.88,0.0,有,0,6850000,6,1
15,3,9.5,1120115,30,15,1,7,7,1121108.0,100.1,0.0,有,0,9100000,5,1
15,3,12.97,1110130,30,15,1,7,7,1121108.0,135.6,0.0,有,0,11700000,5,1
15,3,12.97,1120916,21,15,1,7,7,1121108.0,135.62,0.0,有,0,12830000,5,1
15,3,11.9,1100815,21,15,1,7,7,1121108.0,125.21,0.0,有,0,9400000,5,1
6,2,59.0,1121120,10,12,4,2,2,611209.0,97.92,6.0,有,1,9550000,0,2
