鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,電梯,停車位所在樓層,編號
安平區,房地(土地+建物),臺南市安平區州平二街38之12號,115.13,其他,,,1110214,土地2建物1車位0,,004,透天厝,見其他登記事項,鋼筋混凝土造,1120616,273.59,5,2,5,有,有,23680000,86554,,,,預售屋、或土地及建物分次登記案件,,無,,
安平區,房地(土地+建物),臺南市安平區州平二街38之10號,92.5,其他,,,1110219,土地2建物1車位0,,004,透天厝,見其他登記事項,鋼筋混凝土造,1120616,234.84,5,2,5,有,有,18200000,77500,,,,陽台外推　其他增建　預售屋、或土地及建物分次登記案件,本件為預售屋權利轉讓，移轉後價格為新台幣1820萬元整。,無,,
安平區,房地(土地+建物),臺南市安平區州平二街38之7號,88.51,其他,,,1110106,土地2建物1車位0,,004,透天厝,見其他登記事項,鋼筋混凝土造,1120616,194.1,5,2,4,有,有,15980000,82330,,,,陽台外推　其他增建　預售屋、或土地及建物分次登記案件,,無,,
安平區,房地(土地+建物),臺南市安平區州平二街38之6號,129.1,其他,,,1110709,土地2建物1車位0,,004,透天厝,見其他登記事項,鋼筋混凝土造,1120616,259.43,5,2,5,有,有,20000000,77093,,,,預售屋、或土地及建物分次登記案件,,無,,
安平區,房地(土地+建物),臺南市安平區州平二街38之3號,92.73,其他,,,1110806,土地2建物1車位0,,004,透天厝,見其他登記事項,鋼筋混凝土造,1120616,234.84,5,2,5,有,有,17900000,76223,,,,陽台外推　其他增建　預售屋、或土地及建物分次登記案件,,無,,
北區,房地(土地+建物),臺南市北區文成一路148號,84.6,其他,,,1121110,土地1建物1車位0,,005,透天厝,住商用,鋼筋混凝土造,0881004,234.98,4,2,3,有,無,24000000,102136,,,,,,無,,
中西區,房地(土地+建物),臺南市中西區武聖路69巷101號,70.58,其他,,,1121110,土地1建物1車位0,,002,透天厝,住商用,加強磚造,0650708,113.74,3,1,2,有,無,8000000,70336,,,,親友、員工、共有人或其他特殊關係間之交易,,無,,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段651號六樓之8,13.14,其他,,,1110614,土地1建物1車位1,六層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,137.66,2,2,2,有,有,11700000,89836,坡道平面,28.02,1850000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,本案於112年9月5日讓渡，其權利契約買賣價格不變,有,B2,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段651號六樓之2,8.92,其他,,,1120414,土地1建物1車位1,六層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,93.74,2,2,2,有,有,8600000,99070,坡道機械,18.54,1150000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B4,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段663號五樓之8,12.97,其他,,,1110707,土地1建物1車位1,五層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,135.6,2,2,2,有,有,11700000,90292,坡道平面,25.96,1800000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
安平區,房地(土地+建物)+車位,臺南市安平區建平七街550號五樓之11,8.76,其他,,,1090829,土地1建物1車位1,五層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,92.49,2,2,2,有,有,5850000,66534,坡道機械,18.54,930000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B4,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段663號四樓之3,8.92,其他,,,1110306,土地1建物1車位1,四層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,93.95,2,2,2,有,有,7750000,88848,坡道機械,18.54,1050000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B3,
安平區,房地(土地+建物)+車位,臺南市安平區建平七街550號三樓之2,9.67,其他,,,1120206,土地1建物1車位1,三層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,101.42,2,2,2,有,有,9350000,97408,坡道平面,25.96,2000000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,本案於112年9月8日讓渡，其權利契約買賣價格不變,有,B2,
安平區,房地(土地+建物)+車位,臺南市安平區永華路二段651號二樓之7,14.62,其他,,,1120902,土地1建物1車位1,二層,022,住宅大樓,見其他登記事項,鋼筋混凝土造,1121108,153.09,2,2,2,有,有,14580000,98951,坡道平面,25.96,2000000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
