鄉鎮市區,交易標的,土地移轉總面積平方公尺,總樓層數,建物型態,建築完成年月,建物移轉總面積平方公尺,總價元,電梯
15,2,115.13,23,4,1120616.0,273.59,23680000,0
15,2,92.5,23,4,1120616.0,234.84,18200000,0
15,2,88.51,23,4,1120616.0,194.1,15980000,0
15,2,129.1,23,4,1120616.0,259.43,20000000,0
15,2,92.73,23,4,1120616.0,234.84,17900000,0
6,2,84.6,24,4,881004.0,234.98,24000000,0
2,2,70.58,12,4,650708.0,113.74,8000000,0
15,3,13.14,15,1,1121108.0,137.66,11700000,1
15,3,8.92,15,1,1121108.0,93.74,8600000,1
15,3,12.97,15,1,1121108.0,135.6,11700000,1
15,3,8.76,15,1,1121108.0,92.49,5850000,1
15,3,8.92,15,1,1121108.0,93.95,7750000,1
15,3,9.67,15,1,1121108.0,101.42,9350000,1
15,3,14.62,15,1,1121108.0,153.09,14580000,1
15,3,8.92,15,1,1121108.0,93.83,8400000,1
15,3,8.76,15,1,1121108.0,92.49,6450000,1
15,3,12.97,15,1,1121108.0,135.6,8600000,1
15,3,11.73,15,1,1121108.0,123.56,8500000,1
15,3,14.62,15,1,1121108.0,153.09,11600000,1
15,3,8.68,15,1,1121108.0,91.59,6580000,1
15,3,8.76,15,1,1121108.0,92.49,6550000,1
15,3,8.92,15,1,1121108.0,93.83,6580000,1
15,3,8.76,15,1,1121108.0,92.69,6530000,1
15,3,12.97,15,1,1121108.0,135.39,10950000,1
15,3,8.84,15,1,1121108.0,93.69,7300000,1
15,3,12.81,15,1,1121108.0,133.96,10820000,1
15,3,8.76,15,1,1121108.0,92.41,8050000,1
15,3,8.92,15,1,1121108.0,94.0,6060000,1
15,3,8.76,15,1,1121108.0,92.72,6580000,1
15,3,8.76,15,1,1121108.0,92.49,6420000,1
15,3,8.92,15,1,1121108.0,93.83,5520000,1
15,3,8.68,15,1,1121108.0,91.86,6480000,1
15,3,8.76,15,1,1121108.0,92.38,7200000,1
15,3,13.14,15,1,1121108.0,137.68,9930000,1
15,3,8.84,15,1,1121108.0,93.69,7350000,1
15,3,8.92,15,1,1121108.0,93.95,8250000,1
15,3,8.68,15,1,1121108.0,91.88,6150000,1
15,3,8.76,15,1,1121108.0,92.49,5450000,1
15,3,8.92,15,1,1121108.0,93.83,6650000,1
15,3,14.62,15,1,1121108.0,153.09,11750000,1
15,3,8.92,15,1,1121108.0,93.83,6700000,1
15,3,8.92,15,1,1121108.0,93.74,6800000,1
15,3,11.73,15,1,1121108.0,123.56,7900000,1
15,3,12.97,15,1,1121108.0,135.6,10970000,1
15,3,8.76,15,1,1121108.0,92.38,7080000,1
15,3,8.76,15,1,1121108.0,92.49,5880000,1
15,3,8.92,15,1,1121108.0,93.74,6820000,1
15,3,8.68,15,1,1121108.0,91.86,6500000,1
15,3,8.84,15,1,1121108.0,93.69,6850000,1
15,3,13.14,15,1,1121108.0,137.66,12800000,1
15,3,8.92,15,1,1121108.0,94.0,6930000,1
15,3,12.89,15,1,1121108.0,136.33,9420000,1
15,3,8.68,15,1,1121108.0,91.86,6550000,1
15,3,8.76,15,1,1121108.0,92.38,7230000,1
15,3,8.68,15,1,1121108.0,91.88,6850000,1
15,3,9.5,15,1,1121108.0,100.1,9100000,1
15,3,12.97,15,1,1121108.0,135.6,11700000,1
15,3,12.97,15,1,1121108.0,135.62,12830000,1
15,3,11.9,15,1,1121108.0,125.21,9400000,1
6,2,59.0,12,4,611209.0,97.92,9550000,0
15,3,11.98,15,1,1121108.0,125.65,8950000,1
15,2,26.5,24,3,1120918.0,75.18,8950000,1
6,3,8.86,11,1,961227.0,113.07,7100000,1
